日期,收盘,换手率,成交均价
1991-07-15,133.14,0.0,463.56173563410954
1991-07-16,134.47,0.0,474.964234620887
1991-07-17,135.81,0.0,601.5151515151515
1991-07-18,137.17,0.0,547.8158205430933
1991-07-19,136.7,0.0,484.33890788136375
1991-07-22,138.07,0.0,514.8335745296672
1991-07-23,139.39,0.0,489.9875707775169
1991-07-24,140.68,0.0,484.4689378757515
1991-07-25,140.19,0.0,486.2932061978546
1991-07-26,140.66,0.0,487.1214570535618
1991-07-29,141.52,0.0,492.55921190526095
1991-07-30,142.39,0.0,485.270487412962
1991-07-31,143.8,0.0,491.9772895581338
1991-08-01,145.24,0.0,488.2688649334179
1991-08-02,146.68,0.0,495.99795640326977
1991-08-05,148.15,0.0,505.8525165821303
1991-08-06,149.62,0.0,532.2338830584707
1991-08-07,151.12,0.0,523.9385727190605
1991-08-08,152.61,0.0,535.6227575602255
1991-08-09,154.1,0.0,535.6662180349932
1991-08-12,155.54,0.0,549.6300076550141
1991-08-13,157.07,0.0,525.4254204301612
1991-08-14,158.63,0.0,534.4890510948906
1991-08-15,160.21,0.0,553.0253741054001
1991-08-16,161.6,0.0,590.4471544715448
1991-08-19,163.21,0.0,623.3502538071066
1991-08-20,164.84,0.0,677.1378708551483
1991-08-21,166.49,0.0,617.4142480211082
1991-08-22,168.16,0.0,652.0061728395061
1991-08-23,169.81,0.0,829.7520661157025
1991-08-26,171.51,0.0,805.5987558320373
1991-08-27,173.19,0.0,653.2663316582915
1991-08-28,174.92,0.0,635.5721393034826
1991-08-29,176.66,0.0,624.6165644171779
1991-08-30,178.43,0.0,624.2047640183459
1991-09-02,180.22,0.0,629.2613636363636
1991-09-03,181.97,0.0,637.2881355932203
1991-09-04,183.69,0.0,723.0769230769231
1991-09-05,185.51,0.0,723.2496697490093
1991-09-06,187.36,0.0,636.8896925858951
1991-09-09,189.24,0.0,661.3175675675676
1991-09-10,188.33,0.0,643.2673326553808
1991-09-11,187.22,0.0,686.0976065818998
1991-09-12,186.22,0.0,825.6764302756485
1991-09-13,187.79,0.0,642.063364855479
1991-09-16,189.66,0.0,638.5784757877781
1991-09-17,188.65,0.0,645.9814769849804
1991-09-18,187.63,0.0,696.1825306535204
1991-09-19,186.88,0.0,623.1921157045949
1991-09-20,185.92,0.0,614.2443064182195
1991-09-23,185.0,0.0,695.5875061973228
1991-09-24,184.08,0.0,702.6647966339411
1991-09-25,183.19,0.0,672.4262059035277
1991-09-26,182.33,0.0,706.3140192631096
1991-09-27,181.82,0.0,605.3130929791272
1991-09-30,180.92,0.0,872.7045401265922
1991-10-03,182.48,0.0,657.862440638173
1991-10-04,184.29,0.0,684.6467391304348
1991-10-07,186.0,0.0,641.3053038965609
1991-10-08,187.49,0.0,641.8614445146346
1991-10-09,189.12,0.0,640.3354137881747
1991-10-10,191.01,0.0,652.7568544742393
1991-10-11,192.85,0.0,660.3223750113833
1991-10-14,194.67,0.0,648.9554738752151
1991-10-15,196.61,0.0,660.3344846391565
1991-10-16,198.57,0.0,656.0343024471867
1991-10-17,200.51,0.0,680.5989797597499
1991-10-18,202.51,0.0,803.2345013477089
1991-10-21,204.53,0.0,710.7718405428329
1991-10-22,206.53,0.0,714.7556390977444
1991-10-23,208.25,0.0,754.8608463591307
1991-10-24,210.07,0.0,680.5806684920184
1991-10-25,211.86,0.0,681.8683001531393
1991-10-28,213.98,0.0,732.6701896176562
1991-10-29,215.78,0.0,767.1486837226548
1991-10-30,216.43,0.0,762.1848739495798
1991-10-31,218.6,0.0,741.6645456859252
1991-11-01,220.72,0.0,730.2742973247545
1991-11-04,222.77,0.0,749.217702279839
1991-11-05,224.65,0.0,793.2263814616756
1991-11-06,226.88,0.0,768.2584269662922
1991-11-07,228.93,0.0,845.2307055659011
1991-11-08,231.22,0.0,766.2779397473275
1991-11-11,233.55,0.0,860.9539207760712
1991-11-12,235.8,0.0,1021.2290502793296
1991-11-13,236.67,0.0,1100.125156445557
1991-11-14,237.45,0.0,1090.4872389791183
1991-11-15,238.25,0.0,930.0291545189505
1991-11-18,240.62,0.0,813.7931034482758
1991-11-19,242.24,0.0,883.1168831168832
1991-11-20,244.5,0.0,829.6774193548387
1991-11-21,246.31,0.0,941.9953596287703
1991-11-22,248.53,0.0,916.080637599625
1991-11-25,250.85,0.0,842.1278421278421
1991-11-26,252.97,0.0,947.840260798696
1991-11-27,255.45,0.0,828.3018867924528
1991-11-28,257.35,0.0,899.6802557953637
1991-11-29,259.6,0.0,844.4279566701291
1991-12-02,262.19,0.0,852.676704307821
1991-12-03,264.81,0.0,1096.2761126248865
1991-12-04,265.77,0.0,1216.9811320754718
1991-12-05,266.66,0.0,1024.3902439024391
1991-12-06,269.35,0.0,1114.6931184128953
1991-12-09,270.27,0.0,1010.4230533415083
1991-12-10,272.91,0.0,1288.7596899224807
1991-12-11,273.71,0.0,1284.0059790732437
1991-12-12,274.41,0.0,1042.4857324032973
1991-12-13,277.0,0.0,1289.544235924933
1991-12-16,277.85,0.0,1408.6206896551723
1991-12-17,278.68,0.0,1529.4117647058824
1991-12-18,279.51,0.0,1175.0
1991-12-19,280.17,0.0,1135.2833638025595
1991-12-20,282.83,0.0,1426.8153881174596
1991-12-23,285.65,0.0,1130.019120458891
1991-12-24,286.22,0.0,1220.164609053498
1991-12-25,287.15,0.0,1523.5602094240837
1991-12-26,288.03,0.0,1217.4657534246576
