日期,收盘,换手率,成交均价
2005-04-08,1003.45,0.0005,619.904060321384
2005-04-11,995.42,0.0005,654.8813394723642
2005-04-12,978.7,0.0003,633.6242133313932
2005-04-13,1000.9,0.0005,624.0540976812204
2005-04-14,986.97,0.0004,603.553185881655
2005-04-15,974.08,0.0004,628.4661098064119
2005-04-18,963.77,0.0003,619.7826004838109
2005-04-19,965.89,0.0003,626.1960089976546
2005-04-20,950.87,0.0003,598.8227733270966
2005-04-21,943.98,0.0003,617.3895622877004
2005-04-22,939.1,0.0004,596.1110637751027
2005-04-25,930.07,0.0004,581.2576539530436
2005-04-26,937.08,0.0004,601.2908363572349
2005-04-27,926.6,0.0004,596.7051316479186
2005-04-28,942.07,0.0005,579.7623912345995
2005-04-29,932.4,0.0004,609.9632281626524
2005-05-09,909.17,0.0003,573.2947024398194
2005-05-10,913.08,0.0004,568.0124556772604
2005-05-11,901.85,0.0003,567.1650687062344
2005-05-12,885.82,0.0003,597.0763854128376
2005-05-13,887.54,0.0004,553.8881021326457
2005-05-16,875.27,0.0003,562.977423577579
2005-05-17,881.46,0.0003,528.3919704733312
2005-05-18,883.2,0.0003,585.8151729810207
2005-05-19,884.17,0.0003,523.1522377279917
2005-05-20,882.76,0.0002,530.7386532895622
2005-05-23,863.34,0.0002,511.79890271635395
2005-05-24,868.46,0.0003,518.9539177504247
2005-05-25,868.45,0.0002,516.9778598107137
2005-05-26,857.33,0.0002,523.9563956920849
2005-05-27,849.51,0.0003,547.1855569231572
2005-05-30,855.61,0.0002,532.4639082687534
2005-05-31,855.95,0.0002,510.93901036930424
2005-06-01,837.53,0.0003,540.8645369412609
2005-06-02,818.38,0.0003,549.0561105527311
2005-06-03,818.03,0.0003,524.7889479358513
2005-06-06,839.0,0.0003,520.0255665745569
2005-06-07,837.28,0.0004,554.7210463739838
2005-06-08,905.77,0.0011,529.1913652245594
2005-06-09,912.6,0.0011,536.5539753978657
2005-06-10,894.56,0.0008,536.2192553228452
2005-06-13,892.96,0.0005,508.32218808264804
2005-06-14,883.54,0.0005,536.273079993335
2005-06-15,866.83,0.0004,547.6060401660337
2005-06-16,879.24,0.0004,553.4338031355645
2005-06-17,880.34,0.0005,553.7292654171364
2005-06-20,906.26,0.0006,541.8515768834612
2005-06-21,896.17,0.0004,539.4170775803333
2005-06-22,900.65,0.0004,561.3978071858978
2005-06-23,893.57,0.0003,574.7030544178399
2005-06-24,898.3,0.0003,530.5891388905987
2005-06-27,916.04,0.0006,538.1249566495876
2005-06-28,903.72,0.0004,532.2036054038085
2005-06-29,898.9,0.0004,532.2599428171995
2005-06-30,878.69,0.0004,515.6796746378232
2005-07-01,859.49,0.0003,503.9058835137252
2005-07-04,855.93,0.0003,455.42685302734293
2005-07-05,849.68,0.0003,566.7272908688541
2005-07-06,842.56,0.0002,525.8191537816342
2005-07-07,844.73,0.0002,486.68236844996153
2005-07-08,829.49,0.0002,477.4667058579144
2005-07-11,824.1,0.0003,484.96868872945464
2005-07-12,851.82,0.0005,501.6217463779375
2005-07-13,846.23,0.0003,497.29790510362875
2005-07-14,849.59,0.0003,506.5769749480024
2005-07-15,841.0,0.0003,472.9073522511737
2005-07-18,832.99,0.0003,443.26494122474736
2005-07-19,835.61,0.0003,459.07353590769577
