日期,收盘,换手率,成交均价
2010-06-01,973.23,0.0003,3630.6358147439514
2010-06-02,997.12,0.0002,3723.344259915301
2010-06-03,998.39,0.0004,3859.9803835341922
2010-06-04,1027.68,0.0003,3512.269594979654
2010-06-07,1069.47,0.0006,3429.4357849940216
2010-06-08,1067.15,0.0004,3349.99114492695
2010-06-09,1077.82,0.0006,3539.101128122482
2010-06-10,1117.48,0.0005,3751.1222369668935
2010-06-11,1122.2,0.0005,3797.536112157363
2010-06-17,1064.84,0.0004,3830.116415563716
2010-06-18,1000.28,0.0004,3573.8639291080244
2010-06-21,1040.8,0.0003,3558.7250725014082
2010-06-22,1034.99,0.0003,3550.739204098764
2010-06-23,1047.34,0.0003,3665.3591026906397
2010-06-24,1050.6,0.0002,3652.447001866935
2010-06-25,1016.28,0.0003,3649.6174599813467
2010-06-28,987.83,0.0002,3761.9787438102344
2010-06-29,913.31,0.0003,3534.450686640864
2010-06-30,919.31,0.0003,3148.060176797332
2010-07-01,882.19,0.0002,3490.731170419943
2010-07-02,873.12,0.0003,3268.586201625812
2010-07-05,862.27,0.0002,3113.7112759099605
2010-07-06,893.72,0.0003,3219.151924382376
2010-07-07,908.55,0.0002,3194.986749662098
2010-07-08,905.51,0.0002,3442.9866485988814
2010-07-09,932.15,0.0003,3267.92097336475
2010-07-12,930.17,0.0003,3314.4118827144616
2010-07-13,931.08,0.0003,3230.2543616378775
2010-07-14,922.36,0.0003,3265.050642532309
2010-07-15,892.56,0.0003,3368.107929380549
2010-07-16,892.3,0.0002,3234.1057036872644
2010-07-19,908.05,0.0002,3187.6627787328957
2010-07-20,937.02,0.0003,3338.3760177125923
2010-07-21,941.25,0.0004,3578.371133636901
2010-07-22,950.21,0.0003,3284.081766799688
2010-07-23,960.59,0.0004,3101.863897827801
2010-07-26,966.15,0.0003,3134.1024623399853
2010-07-27,957.97,0.0003,3358.801675110018
2010-07-28,972.53,0.0003,3312.0209835127716
2010-07-29,975.36,0.0004,3287.19008490168
2010-07-30,968.43,0.0003,3462.1333519828095
2010-08-02,994.23,0.0004,3371.9227470276696
2010-08-03,975.65,0.0004,3387.147597859604
2010-08-04,978.01,0.0003,3290.2864389609763
2010-08-05,987.35,0.0004,3408.263940501548
2010-08-06,1011.39,0.0004,3278.102632827487
2010-08-09,1032.34,0.0005,3307.3208530613124
2010-08-10,993.99,0.0005,3264.396363738252
2010-08-11,1004.64,0.0004,3207.392891241166
2010-08-12,991.78,0.0004,3147.1052392597867
2010-08-13,1007.21,0.0003,3282.685607671705
2010-08-16,1030.22,0.0004,3297.1299723463094
2010-08-17,1033.58,0.0004,3383.5128191886056
2010-08-18,1026.72,0.0004,3481.1530166394787
2010-08-19,1025.53,0.0004,3414.7680799540053
2010-08-20,995.94,0.0004,3527.7976199642394
2010-08-23,995.61,0.0003,3478.091567800859
2010-08-24,1004.98,0.0003,3620.486419921307
2010-08-25,976.88,0.0003,3495.311517295859
2010-08-26,980.63,0.0003,3624.2932893190255
2010-08-27,999.46,0.0003,3692.0829111311728
2010-08-30,1024.93,0.0004,3645.197151837959
2010-08-31,1025.57,0.0003,3741.852702060795
2010-09-01,995.59,0.0004,3650.1620522194726
2010-09-02,1014.92,0.0004,3620.858441911216
2010-09-03,1036.7,0.0005,3690.422663052855
2010-09-06,1010.76,0.0004,3566.4241798486555
2010-09-07,1022.62,0.0003,3570.246103973954
2010-09-08,1026.33,0.0003,3416.3588043464324
2010-09-09,1021.83,0.0004,3268.1787731617787
2010-09-10,1034.94,0.0004,3169.4003233478084
2010-09-13,1042.48,0.0004,3314.1657172629593
2010-09-14,1031.22,0.0004,3492.7030550907384
2010-09-15,990.1,0.0004,3430.844877529392
2010-09-16,972.6,0.0003,3358.415198279126
2010-09-17,972.23,0.0002,3380.311985452141
2010-09-20,949.2,0.0002,3395.48984580873
2010-09-21,934.46,0.0002,3187.6587650055394
2010-09-27,950.67,0.0002,3243.8316027128485
2010-09-28,942.05,0.0002,3133.4967027983903
2010-09-29,926.76,0.0002,3372.78564927531
2010-09-30,942.54,0.0002,3218.9425226906683
2010-10-08,959.86,0.0002,3151.2696409461605
2010-10-11,947.11,0.0003,3250.1099117405156
2010-10-12,951.79,0.0003,3156.994117039942
2010-10-13,962.74,0.0003,3099.3167282467853
2010-10-14,958.49,0.0003,3277.9509325732865
2010-10-15,944.25,0.0003,3211.1775159741455
2010-10-18,932.36,0.0003,3195.3403806834226
2010-10-19,995.92,0.0005,3314.304339387265
2010-10-20,1004.54,0.0006,3259.0294041389893
2010-10-21,991.84,0.0003,3093.224649198724
2010-10-22,1013.45,0.0004,3169.4365447391133
2010-10-25,1039.05,0.0005,3255.049473055291
2010-10-26,1036.01,0.0004,3209.123068646708
2010-10-27,1030.59,0.0004,3306.8249909354763
2010-10-28,1038.62,0.0004,3368.036406177295
2010-10-29,1064.52,0.0005,3434.9014411872326
2010-11-01,1107.52,0.0006,3490.7554259396807
2010-11-02,1075.15,0.0005,3527.851758238132
2010-11-03,1040.62,0.0004,3365.7841037068397
2010-11-04,1057.71,0.0003,3398.0001165231292
2010-11-05,1072.22,0.0003,3432.8845316902216
2010-11-08,1107.06,0.0004,3490.1914068753504
