,收盘,signal
2010-12-17,1232.98,1.0
2010-12-20,1212.34,1.0
2010-12-21,1215.02,1.0
2010-12-22,1201.65,1.0
2010-12-23,1176.36,1.0
2010-12-24,1144.5,1.0
2010-12-27,1105.3,1.0
2010-12-28,1091.48,1.0
2010-12-29,1113.31,1.0
2010-12-30,1117.21,-1.0
2010-12-31,1137.66,-1.0
2011-01-04,1155.11,-1.0
2011-01-05,1155.35,1.0
2011-01-06,1134.79,1.0
2011-01-07,1126.52,1.0
2011-01-10,1093.77,1.0
2011-01-11,1078.36,1.0
2011-01-12,1089.67,1.0
2011-01-13,1093.86,1.0
2011-01-14,1067.42,1.0
2011-01-17,1028.16,1.0
2011-01-18,1025.72,1.0
2011-01-19,1048.54,1.0
2011-01-20,1020.39,1.0
2011-01-21,1024.51,1.0
2011-01-24,994.97,-1.0
2011-01-25,979.0,-1.0
2011-01-26,995.74,-1.0
2011-01-27,1013.02,-1.0
2011-01-28,1020.94,-1.0
2011-01-31,1029.12,-1.0
2011-02-01,1032.6,-1.0
2011-02-09,1025.15,-1.0
2011-02-10,1063.95,-1.0
2011-02-11,1071.58,-1.0
2011-02-14,1086.56,-1.0
2011-02-15,1087.72,-1.0
2011-02-16,1107.24,-1.0
2011-02-17,1115.33,-1.0
2011-02-18,1100.46,-1.0
2011-02-21,1117.67,-1.0
2011-02-22,1088.27,-1.0
2011-02-23,1114.05,-1.0
2011-02-24,1101.95,-1.0
2011-02-25,1095.1,-1.0
2011-02-28,1099.78,-1.0
2011-03-01,1098.0,-1.0
2011-03-02,1088.9,-1.0
2011-03-03,1064.31,-1.0
2011-03-04,1071.86,-1.0
2011-03-07,1078.11,-1.0
2011-03-08,1084.82,-1.0
2011-03-09,1087.3,-1.0
2011-03-10,1093.9,-1.0
2011-03-11,1101.76,-1.0
2011-03-14,1107.54,-1.0
2011-03-15,1094.95,-1.0
2011-03-16,1102.21,-1.0
2011-03-17,1078.37,-1.0
2011-03-18,1083.6,-1.0
2011-03-21,1070.6,-1.0
2011-03-22,1067.29,-1.0
2011-03-23,1076.56,-1.0
2011-03-24,1077.99,-1.0
2011-03-25,1072.34,-1.0
2011-03-28,1052.11,-1.0
2011-03-29,1019.04,-1.0
2011-03-30,1006.37,-1.0
2011-03-31,1008.3,-1.0
2011-04-01,1015.08,-1.0
2011-04-06,994.26,-1.0
2011-04-07,1004.41,-1.0
2011-04-08,1019.14,-1.0
2011-04-11,1002.8,1.0
2011-04-12,1000.16,1.0
2011-04-13,1020.75,1.0
2011-04-14,1016.62,1.0
2011-04-15,1010.06,1.0
2011-04-18,1003.26,1.0
2011-04-19,994.3,1.0
2011-04-20,1008.18,1.0
2011-04-21,1010.56,1.0
2011-04-22,1004.65,1.0
2011-04-25,975.17,1.0
2011-04-26,958.29,1.0
2011-04-27,942.54,1.0
2011-04-28,904.15,1.0
2011-04-29,912.72,1.0
2011-05-03,922.07,1.0
2011-05-04,903.98,1.0
2011-05-05,914.59,1.0
2011-05-06,918.28,1.0
2011-05-09,931.77,1.0
2011-05-10,931.21,1.0
2011-05-11,929.95,1.0
2011-05-12,909.26,1.0
2011-05-13,909.77,1.0
2011-05-16,906.34,1.0
2011-05-17,895.15,1.0
2011-05-18,890.79,1.0
2011-05-19,884.89,1.0
